candidate_id,family_id,candidate_role,segment,completed_trades,net_profit_usd,gross_profit_usd,gross_loss_usd,trade_profit_factor,win_rate,average_trade_usd,median_trade_usd,average_winner_usd,average_loser_usd,payoff_ratio,maximum_drawdown_usd,maximum_drawdown_percent,net_profit_to_drawdown,drawdown_duration_trades,recovery_duration_trades,maximum_consecutive_losses,worst_20_trade_result,worst_50_trade_result,worst_100_trade_result,trades_per_year,average_holding_minutes,median_holding_minutes,average_trade_to_round_trip_cost
premarket_continuation_0p875_1p5r,premarket_momentum_continuation,DEVELOPMENT,LONG_TRADES,0,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0,0,0,,,,0.0,,,
premarket_continuation_0p875_1p5r,premarket_momentum_continuation,DEVELOPMENT,SHORT_TRADES,0,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0,0,0,,,,0.0,,,
opening_drive_0p25_time,opening_drive_continuation,DEVELOPMENT,ALL_TRADES,106,2590.0,158585.0,-155995.0,1.016603096253085,0.4716981132075472,24.433962264150942,-450.0,3171.7,-2785.625,1.138595467803455,-45395.0,-45.395,0.05705474171164225,49,4,5,-39120.0,-28360.0,3195.0,189.78286764705882,236.04716981132074,355.0,1.6289308176100628
opening_drive_0p25_time,opening_drive_continuation,DEVELOPMENT,LONG_TRADES,61,-4495.0,81690.0,-86185.0,0.9478447525671521,0.4918032786885246,-73.68852459016394,-335.0,2723.0,-2780.1612903225805,0.9794395776527238,-36475.0,-36.475,-0.12323509252912954,23,0,6,-28735.0,-17540.0,,109.21466911764706,224.62295081967213,355.0,-4.912568306010929
opening_drive_0p25_time,opening_drive_continuation,DEVELOPMENT,SHORT_TRADES,45,7085.0,76895.0,-69810.0,1.101489757914339,0.4444444444444444,157.44444444444446,-640.0,3844.75,-2792.4,1.3768621973929236,-19030.0,-19.03,0.3723068838675775,14,3,6,-13430.0,,,80.56819852941177,251.53333333333333,355.0,10.496296296296297
opening_drive_0p25_1p5r,opening_drive_continuation,DEVELOPMENT,ALL_TRADES,106,9127.5,162527.5,-153400.0,1.0595013037809649,0.5094339622641509,86.10849056603773,72.5,3009.7685185185187,-2950.0,1.0202605147520403,-45697.5,-45.697500000000005,0.19973740357787625,36,4,5,-44655.0,-36140.0,7950.0,189.78286764705882,180.99056603773585,119.5,5.7405660377358485
opening_drive_0p25_1p5r,opening_drive_continuation,DEVELOPMENT,LONG_TRADES,61,-2662.5,81702.5,-84365.0,0.968440704083447,0.5245901639344263,-43.64754098360656,430.0,2553.203125,-2909.137931034483,0.8776493880756238,-36487.5,-36.4875,-0.07297019527235354,42,0,6,-29400.0,-21130.0,,109.21466911764706,175.7377049180328,112.0,-2.9098360655737707
opening_drive_0p25_1p5r,opening_drive_continuation,DEVELOPMENT,SHORT_TRADES,45,11790.0,80825.0,-69035.0,1.1707829361917867,0.4888888888888889,262.0,-325.0,3673.8636363636365,-3001.521739130435,1.2240003423823225,-19890.0,-19.89,0.5927601809954751,24,3,4,-17750.0,,,80.56819852941177,188.11111111111111,147.0,17.466666666666665
opening_drive_0p50_time,opening_drive_continuation,DEVELOPMENT,ALL_TRADES,69,-6505.0,102595.0,-109100.0,0.9403758020164986,0.4782608695652174,-94.27536231884058,-325.0,3108.939393939394,-3030.5555555555557,1.0258645112907259,-43730.0,-43.730000000000004,-0.14875371598445003,27,2,7,-40700.0,-28300.0,,123.53790441176471,253.85507246376812,355.0,-6.2850241545893715
opening_drive_0p50_time,opening_drive_continuation,DEVELOPMENT,LONG_TRADES,38,-5620.0,50480.0,-56100.0,0.8998217468805704,0.5,-147.89473684210526,47.5,2656.842105263158,-2952.6315789473683,0.8998217468805705,-26400.0,-26.400000000000002,-0.2128787878787879,13,0,6,-10095.0,,,68.03536764705883,238.6315789473684,355.0,-9.859649122807017
opening_drive_0p50_time,opening_drive_continuation,DEVELOPMENT,SHORT_TRADES,31,-885.0,52115.0,-53000.0,0.9833018867924528,0.45161290322580644,-28.548387096774192,-325.0,3722.5,-3117.6470588235293,1.1940094339622642,-26260.0,-26.26,-0.033701447067783705,15,1,5,-17465.0,,,55.50253676470589,272.51612903225805,355.0,-1.9032258064516128
opening_drive_0p50_1p5r,opening_drive_continuation,DEVELOPMENT,ALL_TRADES,69,1782.5,110412.5,-108630.0,1.0164089109822332,0.5072463768115942,25.833333333333332,305.0,3154.6428571428573,-3195.0,0.987368656382741,-46832.5,-46.832499999999996,0.03806117546575562,27,2,7,-43802.5,-31380.0,,123.53790441176471,208.81159420289856,255.0,1.722222222222222
opening_drive_0p50_1p5r,opening_drive_continuation,DEVELOPMENT,LONG_TRADES,38,-3332.5,52432.5,-55765.0,0.9402402940912759,0.5263157894736842,-87.69736842105263,457.5,2621.625,-3098.0555555555557,0.8462162646821483,-27490.0,-27.49,-0.12122590032739178,25,0,6,-15475.0,,,68.03536764705883,199.73684210526315,202.5,-5.8464912280701755
opening_drive_0p50_1p5r,opening_drive_continuation,DEVELOPMENT,SHORT_TRADES,31,5115.0,57980.0,-52865.0,1.096755887638324,0.4838709677419355,165.0,-325.0,3865.3333333333335,-3304.0625,1.1698729468142124,-29362.5,-29.362500000000004,0.17420178799489144,15,1,5,-16947.5,,,55.50253676470589,219.93548387096774,317.0,11.0
opening_drive_0p75_time,opening_drive_continuation,DEVELOPMENT,ALL_TRADES,27,7770.0,49250.0,-41480.0,1.1873191899710704,0.5185185185185185,287.77777777777777,305.0,3517.8571428571427,-3190.769230769231,1.102510676401708,-12605.0,-12.605,0.6164220547401824,6,3,4,5540.0,,,48.34091911764706,284.6296296296296,355.0,19.185185185185183
opening_drive_0p75_time,opening_drive_continuation,DEVELOPMENT,LONG_TRADES,13,-5230.0,14375.0,-19605.0,0.7332313185411885,0.46153846153846156,-402.3076923076923,-565.0,2395.8333333333335,-2800.714285714286,0.8554365382980532,-11720.0,-11.72,-0.4462457337883959,9,5,4,,,,23.27525735294118,245.46153846153845,355.0,-26.82051282051282
opening_drive_0p75_time,opening_drive_continuation,DEVELOPMENT,SHORT_TRADES,14,13000.0,34875.0,-21875.0,1.5942857142857143,0.5714285714285714,928.5714285714286,1435.0,4359.375,-3645.8333333333335,1.1957142857142857,-11490.0,-11.49,1.1314186248912097,5,0,2,,,,25.065661764705883,321.0,355.0,61.904761904761905
opening_drive_0p75_1p5r,opening_drive_continuation,DEVELOPMENT,ALL_TRADES,27,10340.0,51820.0,-41480.0,1.2492767598842816,0.5185185185185185,382.962962962963,305.0,3701.4285714285716,-3190.769230769231,1.160042705606833,-13712.5,-13.7125,0.754056517775752,12,0,4,9520.0,,,48.34091911764706,260.1111111111111,355.0,25.530864197530867
opening_drive_0p75_1p5r,opening_drive_continuation,DEVELOPMENT,LONG_TRADES,13,-5230.0,14375.0,-19605.0,0.7332313185411885,0.46153846153846156,-402.3076923076923,-565.0,2395.8333333333335,-2800.714285714286,0.8554365382980532,-11720.0,-11.72,-0.4462457337883959,9,5,4,,,,23.27525735294118,245.46153846153845,355.0,-26.82051282051282
opening_drive_0p75_1p5r,opening_drive_continuation,DEVELOPMENT,SHORT_TRADES,14,15570.0,37445.0,-21875.0,1.7117714285714285,0.5714285714285714,1112.142857142857,1817.5,4680.625,-3645.8333333333335,1.2838285714285713,-11490.0,-11.49,1.3550913838120104,5,0,2,,,,25.065661764705883,273.7142857142857,355.0,74.14285714285714
