session_date,market_open_utc,market_close_utc,expected_cash_minutes,expected_five_minute_bars
2024-10-15,2024-10-15T13:30:00+0000,2024-10-15T20:00:00+0000,390,78
2024-10-16,2024-10-16T13:30:00+0000,2024-10-16T20:00:00+0000,390,78
2024-10-17,2024-10-17T13:30:00+0000,2024-10-17T20:00:00+0000,390,78
2024-10-18,2024-10-18T13:30:00+0000,2024-10-18T20:00:00+0000,390,78
2024-10-21,2024-10-21T13:30:00+0000,2024-10-21T20:00:00+0000,390,78
2024-10-22,2024-10-22T13:30:00+0000,2024-10-22T20:00:00+0000,390,78
2024-10-23,2024-10-23T13:30:00+0000,2024-10-23T20:00:00+0000,390,78
2024-10-24,2024-10-24T13:30:00+0000,2024-10-24T20:00:00+0000,390,78
2024-10-25,2024-10-25T13:30:00+0000,2024-10-25T20:00:00+0000,390,78
2024-10-28,2024-10-28T13:30:00+0000,2024-10-28T20:00:00+0000,390,78
2024-10-29,2024-10-29T13:30:00+0000,2024-10-29T20:00:00+0000,390,78
2024-10-30,2024-10-30T13:30:00+0000,2024-10-30T20:00:00+0000,390,78
2024-10-31,2024-10-31T13:30:00+0000,2024-10-31T20:00:00+0000,390,78
2024-11-01,2024-11-01T13:30:00+0000,2024-11-01T20:00:00+0000,390,78
2024-11-04,2024-11-04T14:30:00+0000,2024-11-04T21:00:00+0000,390,78
2024-11-05,2024-11-05T14:30:00+0000,2024-11-05T21:00:00+0000,390,78
2024-11-06,2024-11-06T14:30:00+0000,2024-11-06T21:00:00+0000,390,78
2024-11-07,2024-11-07T14:30:00+0000,2024-11-07T21:00:00+0000,390,78
2024-11-08,2024-11-08T14:30:00+0000,2024-11-08T21:00:00+0000,390,78
2024-11-11,2024-11-11T14:30:00+0000,2024-11-11T21:00:00+0000,390,78
2024-11-12,2024-11-12T14:30:00+0000,2024-11-12T21:00:00+0000,390,78
2024-11-13,2024-11-13T14:30:00+0000,2024-11-13T21:00:00+0000,390,78
2024-11-14,2024-11-14T14:30:00+0000,2024-11-14T21:00:00+0000,390,78
2024-11-15,2024-11-15T14:30:00+0000,2024-11-15T21:00:00+0000,390,78
2024-11-18,2024-11-18T14:30:00+0000,2024-11-18T21:00:00+0000,390,78
2024-11-19,2024-11-19T14:30:00+0000,2024-11-19T21:00:00+0000,390,78
2024-11-20,2024-11-20T14:30:00+0000,2024-11-20T21:00:00+0000,390,78
